Symptoms,Frequency
neuromyopathy,1
mastication disorder,1
dysgraphia,1
enlarged lymph nodes,1
lot unknown allergies,1
lymphadenopathy ( non-serious ) onset jun2021,1
patient severe allergic reaction,1
high blood pressure hyperthyroidism,1
limited conditions,1
diagnosed allergies,1
genetic/ chromosomal abnormalities,1
endocrine abnormalities,1
diabetes ),1
got ear infection ears perforation bleeding,1
bit low,1
patient hospitalized vaccination failure,1
outcome dehydration,1
breakthrough covid infection,1
positive test,1
6.the symptoms,1
short breathe,1
aphonia,1
gum recession,1
bad swollen,1
sore gums,1
whole body swelling,1
"body , organs , skull , neck bad",1
crackling popping skull,1
gingival pain,1
visual impairment ( non-serious ) onset,1
"organs , skull , neck bad ``",1
dry mouth ( non-serious ) onset,1
symptom recurrence,1
gums uncomfortable,1
lay bad swelling neck heart rate,1
2nd shot wound losing hearing,1
terrible tinnitus,1
deafness,1
tinnitus ( non-serious ),1
heart inflammation,1
vaginal bleeding ( post menopausal ),1
facial paralysis,1
eye disorder ( non-serious ),1
painful headache,1
random joint pain/ pain left knee,1
deep shuttering chills,1
asymmetric pain/my upper right maxilla/my lower left mandible,1
asymmetric pain/the upper lower dental arches,1
brain fog vague confusion,1
pain jaw,1
severe enough ``,1
aphasia,1
random joint pain,1
pronounced fatigue deep shuttering chills,1
asymmetric pain,1
upper lower dental arches,1
actually bleeding,1
pain left knee,1
feeling weakening muscles,1
extreme hypotension,1
body temperature little low,1
super weak,1
vision super blurry blurry dizziness,1
numb feet hands,1
numbness hands feet,1
numbness little bit hands feet,1
weakening muscles,1
skipping heart beats,1
body temperature decreased,1
super weak shaking,1
really cold vision super blurry blurry dizziness,1
really cold vision,1
super blurry blurry dizziness,1
loss taste texture,1
knots armpit breast,1
sensations breast,1
breast cancer metastasis bone brain,1
breast mass,1
cerebral hemorrhage,1
chest/lung rattles,1
occasional sneezing ``,1
lacrimation,1
patient allergy,1
two urinary tract infection,1
three urinary tract infection,1
infection gut,1
breathing issues,1
chronic gout,1
chronic pain disorder,1
dysphasia ``,1
nausea `` ( unspecified ongoing ),1
interstitial lung disease ``,1
`` inflammation,1
high blood pressure `` ( unspecified ongoing ),1
nasal cancer,1
peptic ulcer,1
stent heart,1
gastrointestinal infection,1
patient atrial fibrillation,1
headache rheumatoid arthritis symptoms,1
rheumatoid arthritis symptoms,1
three urinary tract infection infection,1
disabling/incapacitating,1
abdominal pain upper ( death ),1
outcome fatal,1
death death,1
lack appetite,1
needle lot blood,1
bleeding issue,1
lot blood basically slowing,1
cataract,1
generalized aching,1
lymph nodes enlarged,1
generalized aching ``,1
lymph nodes little high imbruvica ( ibrutinib ),1
low grade fever achy imbruvica ( ibrutinib ),1
feeling fatigue,1
low grade fever achy,1
ulcerative colitis flare,1
hit blood vessel sore spot,1
vascular injury,1
blood vessel sore spot,1
malabsorption ( non-serious ),1
weight increased ( non-serious ),1
fibromyalgia ( non-serious ),1
contusion ( non-serious ),1
fibromyalgia lyrica,1
round bruise size circle pen ulcerative colitis flare,1
fibromyalgia humira ( adalimumab ),1
malabsorption,1
weight increased,1
site pain,1
neoplasm breast,1
inflamed heart,1
panic attack,1
little high,1
thinking s congestion,1
anxiety onset,1
respiratory tract congestion onset,1
events inflamed heart,1
congestion chest pain,1
gait difficulty,1
fully vaccinated,1
autoimmune disorders,1
imbalance disorder,1
myasthenia gravis ( disability,1
sleep apnoea,1
glands chin swollen,1
standard symptoms,1
swollen lymph nodes arm pit,1
stuck covid,1
pain body,1
nose,1
completely nose,1
aleve fever,1
real bad body aches,1
constant debilitating headaches,1
little pause headache,1
debilitating times pain,1
pain sessions,1
lymph nodes back head,1
swollen heat throbbing sensation,1
severe scalp flareup,1
really severe autoimmune flare,1
severely unwell,1
severely unwell contracting virus,1
total 3 syncopal episodes,1
cxr increased interstitial lung markings,1
discomfort pinch,1
pain left arm left breast,1
pain areas,1
arm left breast,1
inflammation left arm,1
pain discomfort out-of-normal protuberance body,1
pain left arm reduces,1
annoyance,1
also discomfort,1
blood clotting cancer,1
neoplasm malignant ( medically significant ),1
intense heart palpitations,1
removal kidney,1
enlarged heart vaccine,1
idiopathic pulmonary fibrosis,1
celiac disease ``,1
milk allergy,1
thyroid function abnormal ``,1
"abdomen , arms , legs",1
diagnosed scleroderma,1
diagnosed scleroderma ``,1
dilated cardiomyopathy,1
patient severe pain left arm,1
awakened intense pain,1
steroid shot left sub acromial bursa,1
kinds pulmonary problems,1
pulmonary problems,1
mild case,1
open wound,1
"pain/soreness feet , hands legs",1
pain/soreness lower back,1
fatigued cold skyrizi ( risankizumab ),1
recently re-emergence symptoms,1
resurgence heart rhythm irregularity,1
irregular pattern,1
mild rapid beat episodes,1
mild occasional arrythmia,1
arrhythmia rapid beat episodes,1
re-emergence symptoms,1
heart rate irregular,1
mild occasional arrythmia early aug,1
frequent episodes late sept ``,1
reduced rapid beat episodes,1
occasional arrhythmia,1
rare rapid beat episodes,1
lack sensation right side,1
arm/ fingers tingling,1
like tingling,1
pain joint,1
move joint,1
waking sleep,1
sensory loss ( non-serious ),1
joint stiffness ( non-serious ),1
musculoskeletal stiffness ( non-serious ),1
sensory loss,1
pain joint fingers,1
fingers tingling,1
little pain arm strange,1
even pain side,1
high blood pressure allergies,1
large red rash injection site,1
warm touch sore,1
sharp pain back head,1
hips quickin,1
blood pouring related colitis,1
chest pain ( non-serious ) onset jul2021,1
vomiting ( non-serious ) onset jul2021,1
bounce back,1
s back pain,1
"throwing , blood pouring related colitis",1
referring tiredness,1
joint pain muscle pain,1
sore left arm,1
sore left armpit,1
sore left arm ``,1
duration events pain,1
myocarditis vaccination comirnaty,1
arm deformity,1
limb deformity ( non-serious ) onset mar2021,1
eczema ( non-serious ) onset mar2021,1
left arm fused,1
eczema rheumatoid arthritis,1
left arm fused together,1
eczema rheumatoid arthritis flare,1
pain eyes,1
autonomic dysfunction,1
antiphospholipid proteine syndrome,1
sjogren s,1
"pain head , hands , knees , ankle , feet , back ``",1
swelling ``,1
patchy bilateral ground glass infiltrates-atypical pneumonia,1
1st day symptoms,1
treatment fever,1
dryness treatment pain,1
female breast cancer,1
pain right side rib area,1
hard catch breath,1
lot pain right side rib area,1
extremely painful lymph node left arm,1
muscle ache/muscle pain,1
joint ache/joint pain,1
drug intolerance,1
extremely painful lymph node,1
life threatening,1
disability incapacitating,1
congenital anomaly birth defect,1
plantar fasciitis,1
carpal tunnel syndrome,1
ache,1
plantar fasciitis ( non-serious ),1
pain arm ``,1
arthralgia ( non-serious ),1
right foot plantar fasciitis,1
"carpal , tunnel wrists",1
arm hurting,1
chill fever,1
right foot plantar fasciitis carpal tunnel wrists,1
chill fever humira ( adalimumab ),1
pain arm ( pain extremity,1
ache ( pain,1
still respiratory issues,1
paper symptoms,1
rid hives,1
side effects every covid virus,1
respiratory issues,1
onset hives,1
guesses obesity,1
constant mild severe headache,1
arthritis infective,1
shoulder,1
infective arthritis,1
prior vaccination,1
sunny nose cough,1
sunny nose cough sneezing,1
sunny nose,1
rhinorrheoa,1
polymerase chain reaction,1
menopausal,1
miller fisher syndrome,1
chronic painless vertical diplopia,1
inflammatory pseudotumor,1
painless paresthesiae hands,1
severe gait ataxia,1
painless paresthesiae feet,1
"lateral rectus , right medial rectus , right inferior oblique , left superior rectus mixed diplopia directions gaze",1
albuminocytological dissociation csf,1
mild vertigo,1
pressure front head eyes headaches,1
mild vertigo ``,1
pollakiuria,1
allergic cats,1
heavy menstrual bleeding dysmenorrhoea,1
attack,1
flare ups,1
ca nt breath,1
lactose sensitivity,1
pain extremity ( non-serious ) onset dec2021,1
housebound,1
slight dairy/lactose sensitivity,1
severe burning entire left side body,1
tequin,1
known allergies tequine,1
left lymph nodes swollen,1
pyrexia lymphadenopathy,1
patient chills,1
cloudy,1
pain back left side,1
gait inability ( non-serious ),1
101.6 degree fever,1
degree fever,1
horrific nightmares,1
gait inability ( non-serious ) onset dec2021,1
screaming,1
nightmare,1
pain back left side walk,1
different symptom,1
nightmares violent,1
seriousness criteria symptoms,1
bone spurs ``,1
diverticulitis ``,1
rash hands ``,1
steroids allergy,1
swollen lymph nodes pain arm,1
swollen lymph nodes pain,1
lymphadenopathy axillary pain,1
breast cancer side,1
uncertain breast cancer,1
stage 4 cancer,1
bones hurt like thighs,1
right arm shoulder sore,1
mild soreness right arm shoulder,1
soreness right arm shoulder,1
severe chills ``,1
falls side effects categories,1
severe body aches like bones hurt like thighs,1
body aches severe,1
heart shocked rhythm,1
a-fib/shocked heart beat rhythm,1
low oxygen - short breath,1
multiple sclerosis ``,1
loss vision upper quadrant left eye ``,1
interstitial lung disease,1
heart beat rhythm,1
chronic fibrotic multinodular thyroid gland change,1
chronic fibrotic multinodular thyroid gland changes lungs,1
abiated filled flutter,1
shocked heart beat rhythm,1
vaccine muscle pain,1
arm got vaccine muscle pain,1
muscles back thighs,1
buttock,1
cane pain,1
pre-existing condition,1
sore muscles lower back,1
intense headache,1
"cramping thighs , knees , calves , feet",1
light nausea,1
"cramping thighs , knees , calves , feet ``",1
light nausea like queasiness,1
double migraine,1
swollen lymph nodes neck,1
euphoria,1
b12 shot,1
leak,1
paranoia,1
little bit dizzy,1
digestive system problems,1
gastrointestinal disorder,1
diarrhoea ( non-serious ) onset mar2021,1
gastric disorder ( non-serious ) onset mar2021,1
body aches worst,1
`` heart palpitation,1
head cold flu,1
digestive system headache,1
pain calves,1
much pain calves legs,1
warmth calves,1
swelling calves legs,1
difficult get feet walk,1
leg problems kind,1
swollen warm,1
painful bad,1
swelling acute,1
pityriasis rubra pilaris rash,1
ischemic colitis,1
autoimmune disease genetic,1
pityriasis rubra pilaris feet,1
calluses,1
skin peel,1
hypoaesthesia oral ( non-serious ) onset,1
arm tiny bit sore raise head,1
arm tiny bit sore,1
pain extremity ( non-serious ) onset feb2021,1
tiny bit sore raise head ``,1
tiny bit sore raise head,1
sore throat fatigue,1
little sore arm,1
usual reaction,1
soreness aching leg hip,1
low temperature,1
congenital heart disease,1
temperature way low,1
hips sore aching way ankles,1
s sore,1
leg soreness,1
cloudiness head,1
abnormal ( non-serious ),1
cloudiness head slight headache,1
quite headache `` head,1
quite headache `` head ``,1
whole arm sore,1
long sore arm,1
arm sore injection site,1
mild cold,1
throat red,1
mild cold ``,1
pharyngeal erythema ( non-serious ),1
mild sore throat congestion,1
restless anxious,1
parkinson s disease,1
mild reaction,1
first soreness injection site,1
type symptoms,1
intermittent knee issue,1
knee swell,1
knee really swollen,1
lot fluid,1
sleep lots,1
clumsy,1
shrimp allergy,1
bowel movement irregularity,1
clumsiness,1
somnolence ( non-serious ),1
achy clumsy,1
hereditary,1
polymyalgia affects muscles joints,1
achiness totally different joints muscles,1
polymyalgia,1
extremely exhausted sleep lots,1
little warm s,1
black blue discoloration,1
outcome event,1
/feeling nauseous,1
slight head cold ``,1
stomach gets sensitive,1
breast cancer recurrence,1
imodium diarrhea,1
slight head cold cough,1
antibodies,1
low immune system,1
really tired,1
cirrhosis liver,1
corona virus,1
dysstasia ( non-serious ),1
dizziness weakness,1
bad dizziness,1
medication allergies,1
lot mini strokes,1
mini strokes,1
plaquenil arthritis,1
really bad rash,1
patient allergic,1
bad rash,1
outcomes events,1
heart disease,1
stomach issues pain,1
shot pain injection site,1
morning lot stomach pain,1
watery diarrhea,1
watery `` diarrhea,1
tingling throbbing injection site,1
chronic kidney disease stage,1
chronic kidney disease stage 3,1
vaccination site paraesthesia,1
throbbing injection site,1
itches injection site,1
seriousness event,1
vision blurry/eyesight,1
something eye,1
mydriasis,1
ocular discomfort,1
night blindness,1
cancer lymph nodes,1
remission,1
cancer swollen lymph nodes,1
schizophrenia,1
thinking abnormal ( non-serious ) onset mar2021,1
pressure head & sinuses,1
loss personal independence,1
flu cold,1
hard rest symptoms,1
feeling disoriented,1
exact memory thoughts,1
black nasal discharge,1
nasal discharge discolouration,1
moderate soreness inoculation site,1
amoxycillin sinus infection,1
brain fog/fogginess head,1
inability want everything,1
abnormal ( non-serious ) onset mar2021,1
dizziness ( non-serious ) onset mar2021,1
disturbance attention ( non-serious ) onset mar2021,1
middle insomnia ( non-serious ) onset mar2021,1
depression ( non-serious ) onset mar2021,1
extreme thirst,1
thirst,1
expected side effects vaccine,1
persisting diarrhea,1
expected side effect,1
s symptoms,1
aching stiff,1
calcified rib left side,1
inflamed,1
right arm bruise,1
fatigue ( non-serious ) onset,1
musculoskeletal stiffness ( non-serious ) onset,1
osteitis ( non-serious ) onset,1
/dizziness,1
slight pressure head,1
true headache,1
funny feeling head,1
fib,1
abundance gas,1
extra bowel movements,1
aching injection site,1
irritable bowel syndrome,1
bowel movement irregularity ( non-serious ),1
gas bloating,1
red spot arm,1
erythema ( non-serious ) onset,1
nerve problems,1
muscle aches nerve pain,1
muscle problems nerve problems,1
unusually fatigued,1
`` thyroid condition,1
tiredness fatigue,1
right foot previously diagnosed dropped foot,1
sustained improved sensation right foot,1
intense pulsing pain right foot,1
neuropathy diagnosed legs,1
cellulitis episode right foot,1
pulsing pain right foot,1
ability sleep,1
arm sore site injection,1
stress,1
acupuncture homeopathies,1
cold/cold like symptoms,1
pressure head,1
little queasy stomach,1
head discomfort ( non-serious ) onset mar2021,1
nausea ( non-serious ) onset mar2021,1
"pressure head , little queasy stomach",1
pain soreness injection site,1
gallbladder attack,1
tia `` ( ongoing ),1
diabetes mellitus type 2 `` ( ongoing ),1
allergic rhinitis ``,1
type 2 hsv infection,1
gallbladder disorder,1
intercurrent condition,1
bone density ``,1
acid reflux ``,1
ongoing ),1
fatigue/ feeling tired,1
bad anxiety,1
sounded like defective needle,1
sharp,1
hit muscle nerve,1
menopausal hot flushes,1
abnormal faeces ( non-serious ),1
intense chills,1
bloating,1
much severe reaction,1
intense chills body aches,1
weakness arms legs,1
grass pollens,1
swollen lymph nodes muscle pain,1
patient fatigue,1
patient covid-19 infection,1
affected ability sleep,1
arm little sore vaccine,1
vaccination site extravasation,1
vertigo-like imbalance,1
seasonal asthma,1
back muscle pain,1
energy level low,1
asthenia ( non-serious ) onset mar2021,1
cerebral palsy,1
sore upper arm ``,1
patient difficulty walking,1
spinal stenosis,1
terrible tiredness,1
little bit arm soreness,1
arm ( left ) quite sore ``,1
left armpit area,1
reddened,1
black blue like area ``,1
terrible pain arm,1
pain shot arm neck,1
muscle spasm,1
muscle spasms ( non-serious ) onset mar2021,1
lot symptoms,1
oropharyngeal discomfort ( non-serious ),1
cold hot,1
transient ischaemic attack,1
plavix cancer,1
uncomfortableness,1
really bad side effects,1
terrible,1
severe lymphadenopathy left arm ( left axilla left elbow crease,1
10/10 pain numbness,1
radiating finger tips/lymphadenopathy nape neck,1
lymphadenopathy nape neck,1
compressing throat,1
radiating tingling along bilateral shoulder blades,1
atypical ductal hyperplasia right breast,1
known allergies sulphur,1
difficulty swallowing radiating tingling along bilateral shoulder blades,1
10/10 pain,1
radiating finger tips/lymphadenopathy,1
severe lymphadenopathy left arm,1
radiating tingling,1
tingling radiating finger tips,1
patient lymphadenopathy nape neck,1
muffled hearing hearing radio septum,1
decreased hearing right ear,1
decreased hearing ringing right ear,1
decreased hearing ringing,1
diabetic type-2,1
trouble vision,1
little sick,1
sweated,1
blood cholesterol increased `` ( ongoing ),1
gout `` ( ongoing ),1
fantastic,1
muscle pain upper arm,1
leaked injection site,1
injection site extravasation,1
unsteady dizzy,1
arm little sore,1
severely sore,1
dizziness postural ( non-serious ) onset mar2021,1
fall ( non-serious ) onset mar2021,1
unsteady,1
vomiting ( non-serious ) onset mar2021,1
vomiting cramps,1
headache right middle head,1
funny,1
arm sore ``,1
really hot,1
dry heave,1
weakened,1
elevated body temperature,1
retching,1
body temperature increased ( non-serious ) onset,1
major chills shaking,1
little elevated body temperature,1
little bit,1
major shaking,1
little bit better lightheaded,1
one brother diabetes,1
caller symptoms,1
problems taste,1
patient problems taste,1
elevated transaminase measurement,1
abdominal swelling,1
blood clot/ pain right leg,1
knees whack,1
arthropathy ( non-serious ),1
real bad pains,1
concerned pain leg,1
pain right leg,1
haemoglobin decreased,1
head pain left side,1
pain left neck ear first shot,1
swollen lymph nodes upper right breast,1
upper back leg pain legs,1
white pimple tongue,1
patient extreme pain injection site,1
treatment heart disease,1
dizziness stands fast,1
sore arms,1
mobility decreased ( non-serious ),1
food poisoning,1
body aching,1
she pain body,1
muscles legs,1
overactive thyroid ( ongoing ),1
overactive thyroid,1
pain arm ( left ),1
saying pain,1
terrible nauseousness,1
slight sore arm ``,1
slight sore arm headache,1
total fatigue,1
time sore throat,1
bones cold,1
extremities cold touch,1
peripheral coldness,1
patient s extremities cold touch,1
trembling leg,1
shakiness hand,1
weak dizzy,1
headache/,1
kind dizziness,1
fog thing,1
entire arm aching,1
abnormal results,1
arm aching,1
warmth,1
slow speech,1
sore arm sore shoulder side injection,1
tingles left arm,1
leg shoulder ache,1
arthralgia ( non-serious ) onset,1
physically tired,1
extremely lethargic,1
"swelling left arm , shoulder hand",1
pain right breast,1
joint swelling ( non-serious ),1
"swelling left arm , shoulder hand ``",1
movement difficult,1
knees swelled,1
fluid drained knees,1
second shot patient s knees swelled,1
neck tightening,1
hurts move side side,1
neck tightness pain,1
rash swelling,1
real sharp pain left breast,1
covid-19 allergies,1
swollen sore lymph node right neck,1
swollen sore lymph node,1
excruciating pain sternum area right hiatal hernia attacks,1
hiatus hernia,1
attack stronger hiatal hernia attacks,1
pain attack,1
progression,1
hiatal hernia attacks esophagus,1
excruciating pain sternum area hiatal hernia attacks,1
minor fatigue,1
little bit nauseous,1
bad prostate,1
several reddish,1
bruised-like blotches,1
blotches,1
soreness warmness,1
patient arm sore,1
diabetes mellitus ``,1
stiffness ca,1
lot stomach distress,1
herpes virus infection,1
arterial disorder,1
bone disorder,1
whole body aches/ dull pulsing pain sides torso,1
dull pulsing pain sides torso,1
feeling unwell,1
`` lung problem,1
pins needles feeling hands legs feet,1
nothing debilitating,1
slight soreness injection site,1
animal allergies,1
left arm injection site,1
patient slight soreness injection site,1
peripheral swelling ( non-serious ) onset mar2021,1
his eye,1
fluid build-up tear duct,1
patient slight headache,1
patient dizziness,1
nerve pain mouth/jaw,1
patient ear pain,1
throbbing head ache,1
decreased appetite ( non-serious ),1
extreme stomach cramps,1
nausea/nauseous,1
abdominal pain upper ( non-serious ),1
small blister interior portion,1
involuntary movement left hand,1
pain radiating left arm,1
frontal fibrosing alopecia,1
dyskinesia ( non-serious ) onset,1
minor hangover,1
patient hot flush,1
short hot flash,1
weak chills,1
different events,1
pain reliever,1
extreme wild ringing ear,1
nervous ringing,1
memory impairment ( non-serious ),1
little bit tinnitus,1
ringing ear overwhelming,1
slightly sore arm,1
blood pressure issues,1
slightly sore arm ``,1
immunosuppressed,1
something dna rna,1
2nd vaccine slightly sore arm,1
hypertension hypotension,1
broke tibia fibula right leg,1
severe calf cramping,1
major fatigue,1
calf cramping,1
going medication cramping,1
still fatigue,1
"severe paresthesias face , tongue , chest wall , limbs",1
"severe paresthesias face , tongue , chest wall , limbs ``",1
tremor ( non-serious ),1
severe paraesthesia face,1
"tongue , chest wall , limbs",1
patient incapacitated,1
severe prolonged headache,1
strong vomiting,1
night-time bowel movement,1
strong vomiting night-time bowel movement,1
positive reaction,1
positive effect immune system,1
rash left right side upper chest,1
chest abdomen,1
clinical outcome rash left right side upper chest,1
middle lower back chest abdomen,1
ulcerated colinitis heart stent,1
clinical outcome red,1
muscle pain pain,1
effect eyesight,1
sore throat weak,1
clinical outcome events,1
low energy,1
swollen lymph nodes left arm,1
ulcerative colitis,1
sore swollen lymph nodes left arm,1
sore swollen lymph nodes,1
immediate cognitive impairment,1
severe numbness,1
buzzing sensation body,1
/disc herniation,1
severe cognitive impairment,1
cognitive impairment,1
tail bone pain,1
ankles pain,1
sleepiness weakness,1
extreme vomiting,1
extreme diarrhea,1
serious headaches,1
severe debilitating dizziness,1
previous condition stroke,1
bad tummy ache,1
"faint , legs went numb",1
"faint , numbness legs",1
weird feeling shoulder pain,1
weird feeling,1
shoulder hurting ( shoulder pain,1
swollen tonsils,1
increased sob,1
kidney fx,1
ringing ears hearing loss left ear,1
hearing,1
101 degree fahrenheit fever,1
perimenopausal age,1
rosacea,1
face bright red,1
skin inflammation rosacea,1
hot/cold spikes,1
exceptional neck stiffness,1
mild ( significant ) sx injection site pain,1
significant sx,1
myasthenias gravis,1
signs fainting,1
rigid body,1
neck stiffening,1
tingling fingers,1
normal arm pain head ache symptoms,1
anxiety attack symptoms,1
lump left arm,1
aching joints,1
sjogren s syndrome,1
aching joints chills,1
patient lump left arm,1
hands turned blue,1
blue,1
cyanosis injection site discoloration,1
red hives body,1
"hives located legs , stomach , hips , ribs , back , chest , neck , arms , hands/fingers",1
patches red hives,1
patches red hives body,1
clinical outcome patches,1
"red hives body hives located legs , stomach , hips , ribs , back , chest , neck , arms , hands/fingers",1
sore face,1
sore face swelling face,1
swollen lymph node near throat,1
blood clot menstrual cycle,1
mild discomfort injection site,1
vaccination site pain vaccination site discomfort,1
inability complete simple wording phrases,1
extreme forgetfulness,1
chronic migraines,1
extreme forgetfulness disorientation,1
extreme testicle pain,1
extreme skin skin,1
bone sensitivity pain,1
along extreme skin skin,1
testicular pain,1
pain skin ( non-serious ),1
bone sensitivity pain.,1
significant swelling right arm pit,1
significant swelling,1
serve cramping,1
irregular periods clotting,1
irregular periods clotting ``,1
cramping army complications,1
outcome events fatigue,1
late menstrual cycle,1
pregnancy extreme bloating,1
oligomenorrhoea ( non-serious ),1
extreme bloating,1
mild body aches,1
losing hair fistfuls,1
hair loosened scalp,1
full body red rash,1
body rash shortness breath,1
loe events,1
lump shoulder area,1
muscle bone pain,1
knee caps,1
heart throbbing,1
pain arm got vaccine,1
pain extremity mass,1
stroke like symptoms,1
false heart attacks,1
neurological deficits,1
nurtec allergy,1
topamax allergy,1
gabapentin allergy,1
pressure many different things,1
asymptomatic covid-19 infection,1
infection known allergies,1
worsened diffused pain,1
mixed connective tissue disease,1
ongoing diffused joint muscle pain,1
rash ``,1
congestion ``,1
`` pain ``,1
lymph swelling breast arm,1
lymph node swelling arm,1
lymph swelling breast arm area,1
fatal pneumonia,1
immunization pneumonia,1
reaction allergy,1
sore throat/stuffy nose,1
tested positive covid-19 symptoms,1
positive covid-19 symptoms,1
tinnitus ring ears persistently,1
loud,1
acupuncture alternative desperate,1
neck swollen,1
fibromyalgia ``,1
active thyroid `` lupus erythematosus,1
heart rate increased body temperature,1
patient diabetic high blood pressure,1
cyanosis ( death,1
fall ( death,1
collapsed blue,1
cyanosis,1
cyanosis fall,1
nose drippy,1
little drainage throat,1
upper-airway cough syndrome,1
toes concussion,1
broken eye socket wrist,1
upper airway cough syndrome,1
breakthrough covid case,1
barometric changes,1
swollen hands,1
swollen hands ``,1
arthritis sensitive barometric changes,1
hepatic failure,1
arthritis/arthritis,1
kidney liver shutting,1
onset swollen hands humira,1
headaches vomiting,1
events lethargic,1
renal failure liver failure,1
non-serious ill,1
vomiting swollen hands humira,1
barometric changes swollen hands,1
liver failure,1
indomethacin arthritis,1
renal liver failure,1
night ill vomiting,1
swollen hands humira ( adalimumab ),1
events ill,1
vomiting swollen hands,1
renal kidney failure,1
mild symptoms cough,1
lost taste smell,1
iron deficiency anemia,1
ageusia ( non-serious ),1
anosmia ( non-serious ),1
fatigue runny nose,1
large blood clot leg,1
one clot particular large artery dilated one side heart lot stress,1
large artery dilated one side heart lot stress,1
patient hospitalized thrombosis,1
large blood clot leg pieces,1
large clots/ tremendous blood urine,1
preeclampsia ``,1
nephrolithiasis,1
kidney enlargement,1
haemorrhage urinary tract,1
patient hospitalized nephrolithiasis,1
short breath ``,1
left leg swollen,1
/garlic allergy,1
limb mass,1
left leg swollen ``,1
patient s left leg swollen,1
dvt-deep vein thrombosis,1
extreme ringing ears head,1
"beating hard , rapid ) could hear heartbeat ears",1
tinnitus palpitations,1
periodic headaches,1
extreme neck pain,1
moderate pain right arm,1
mild pain inside ears,1
mild sore throat,1
mild tightening chest,1
"extreme neck , back , thigh pain",1
fatigue chest discomfort,1
arm arm pit along breast sore,1
lump arm pit breast,1
axillary mass ( non-serious ),1
breast sore,1
axillary mass breast mass,1
lump armpit breast,1
mildly elevated blood pressure,1
swelling discomfort,1
frequent headaches/ severe headaches,1
sometimes severe headaches,1
severe asthma ``,1
rash pruritus,1
lost taste fever,1
skipping heart beats ``,1
gi cancer,1
ulcer ``,1
lower back issue,1
light flashes,1
eye floaters,1
vitreous floaters,1
breakthrough symptomatic covid infection,1
symptomatic covid infection,1
mild stuffy nose sore throat,1
"left leg calf , ankle , pain",1
pain extremity arthralgia,1
recurring hives torso limbs,1
positive severe symptoms,1
severe headache ``,1
minor muscle pain,1
severe muscle pain,1
severe runny nose,1
known drug allergies,1
tinnitus headache,1
sore swollen armpit,1
axillary pain swelling,1
head cold tested positive covid 19 virus,1
rate breakthrough infections,1
extreme pain arm,1
slightly high cholesterol,1
pain body temperature,1
mouth dry,1
dry mouth ( non-serious ),1
slight headache mouth dry,1
spontaneous bruising itching,1
breast ca,1
er near syncope episode,1
c/o cough,1
cxr acute disease,1
intense inflammation left inner ear,1
inflammation reduced hearing,1
constant high pitched tinnitus ( left ) ear,1
really intense headache,1
symptoms classical migraine,1
photosensitivity,1
intense headache migraine-like quality,1
progressed migraine back bed,1
moderately severe debilitating,1
constant head ache,1
pain severity varies,1
pain degree,1
medication dull,1
pain entire head,1
postmenopausal uterine bleeding,1
increased anxiety reactions,1
actually anxiety attach,1
heart attack conditions,1
patient adverse reaction,1
"painless , puffy swelling left eye",1
slightly itchy mild rash hands,1
slight tenderness injection site,1
limited rom left arm,1
severe swelling tenderness left axilla/breast/upper pec/trap/lat,1
swelling tenderness palpation left axilla breast,1
continued denser breast tissue left side,1
irritated eyes,1
muscular discomfort,1
sudden deafness right ear,1
"ears , ears",1
patient loss sense taste,1
phantom drooling `` sensation,1
sensation liquid running left side,1
frequent need wipe area fingers,1
habituated symptoms,1
burning sensation center chin,1
multiple sclerosis neurological disorders,1
redness swelling injection site,1
extensive swelling,1
"significant swelling lips , neck , face",1
resemble angioedema type reaction,1
patient swelling hands feet,1
pretty severe reaction,1
major abdominal pain,1
second attack,1
hit head back fall,1
narrow complex tachycardia,1
atypical chest pain,1
afraid needles,1
swollen lymph nodes arm neck,1
heart redness injection site,1
persistent sore arm swelling injection site,1
neurological symptoms,1
numbness/tingling bilateral arms & legs,1
generalized seizure,1
body weakness aches,1
muscle aches head ache,1
face swollen aches,1
shooting pains going legs,1
large numbers,1
increased troponin level,1
gradual reduction events,1
on-going discomfort,1
lingering arm pain injection site,1
lingering arm pain,1
full body ache,1
swolen glands,1
side effects residual effects episode,1
servere headache,1
severe swelling pain fingers knees,1
intermittent severe pain lower back,1
shoulder blades toes,1
sever worsening tinnitus,1
patient rash back neck,1
swelling lung,1
nausea lost consciousness,1
feet elevated,1
blurry white vision,1
ringing right ear,1
slight decrease peak flow,1
bronchospasm,1
change sense taste,1
treating fever headaches,1
backpain,1
increased heartrate chest pain,1
mild chest pain,1
stil increased heart rate,1
heart rate slower,1
anticipation pain,1
tingling tightness around throat,1
swell,1
autoimmune inflammation,1
sensation tightness pain,1
pain chest,1
weakness point tremor,1
heart related,1
pain scary quite debilitating,1
sort brachial neuritis,1
pain muscle around injection site,1
lower left abdominal pain,1
pain left shoulder back,1
sore arm lymph node armpit,1
hair falling,1
debilitating migraine right side head ran head,1
severe stabbing,1
burning pain injection arms armpit,1
continued pain upper right abdomen,1
itchiness body,1
milk redness skin near neck,1
normal covid-shot symptoms,1
sore muscle,1
bcg scar inflammation,1
intermittent heart palpitations,1
left upper arm pain,1
sciatica nerve damaged,1
sciatica back ankle,1
left leg- limping,1
pain killers,1
wheals ( hives,1
severe headaches vision issues,1
still lingering eye issues,1
vision issues stroke,1
permanent brain damage issue,1
