Symptom,Frequency
chronic headaches diffuse unremitting nature,1
aggravated physical activity,1
minimum symptoms,1
cough nasal congestion sore throat,1
patient seizure episode,1
severe respiratory failure,1
flushing/sweating,1
hyperventilation,1
employee cold symptoms,1
profusely sweating dilated pupils,1
vaccine light headache,1
really cold hands,1
body shaking fever headaches,1
"flushing ears , neck , chest",1
/hypoxia,1
mucopurulent sputum,1
hypoxic time,1
improved dyspnea,1
significant hypoxia,1
mild hyperglycemia,1
isolated elevation ast,1
bnp elevated,1
pct mildly elevated,1
v-tach,1
bursitis ' pain shoulder/neck area,1
cold symptom,1
kinds symptoms,1
ocular migraines,1
raised veins temples,1
hyper immune response,1
permanent damage,1
right flank pain,1
decreased activity,1
3 bloody stools,1
reduction lower extremity movement,1
hemorrhagic shock gi bleed,1
spinal cord infarct,1
gi bleed spinal cord findings,1
similar large spot side body lower neck red slightly painful touch,1
reduced itchiness redness,1
cough white sputum production,1
patient febrile,1
tachycardic hypotension,1
hypoxic fever,1
b/l jaw muscle pain,1
right wrist/hand pain,1
left foot/ankle/heel pain,1
pain b/l hips,1
upper back/neck,1
left hand,1
well subjective fevers,1
pt vague syndrome,1
nonspecific unilateral joint pain,1
l great toe pain,1
well low back neck pain,1
roving pains symptoms,1
o2 shortness breath chest pain,1
consolidations,1
persistent l shoulder pain,1
self-inspection lumps,1
discoloration,1
changes temperature skin texture,1
little bit sob,1
uterine lining shed,1
mild transient edema left wrist,1
mild edema left ankle,1
slight swelling left knee lips,1
"erythema multiforme rash abdomen , arms , legs , buttocks",1
slight swelling left knee,1
exacerbating lupus symptoms,1
worsened joint pain,1
persistent productive cough,1
improving symptoms,1
"small bumps torso , back neck",1
small spread body,1
bumpy rash,1
brown spots,1
1- entire body marked brown spots small bumps,1
bumps mixed brown spots,1
dry scaly,1
brown spots rash,1
symptoms stiffness left thumb swelling,1
hypertension obesity,1
low -grade temp,1
severely burns tongue,1
cracked rib,1
low level,1
consistent troponin elevation,1
significant change chronic troponin elevation,1
positive pulmonary emboli,1
segmental subsegmental branches right upper lung arterial vasculature,1
subtle peripheral groundglass opacities,1
epigastric/upper abdominal pain,1
significant circumferential bladder wall thickening,1
underdistention,1
ringing ears metallic taste symptoms,1
time dizziness nausea,1
sign infection,1
signs infection,1
pain right rib cage,1
tachycardia diaphoresis,1
nausea emesis,1
abdominal fullness,1
mental status change,1
patient confused agita,1
serve headache,1
congestive unable sleep,1
patient chest heaviness,1
weakness fatigue,1
diabetes mellitus type 1,1
mild patchy round glass multifocal areas airspace disease lungs,1
right basilar atelectasis infiltrative changes right perihilar region,1
patient hypotensive,1
hypotension lewy body disorder,1
new hypertensive crisis disorder,1
new onset atrial fibrillation congestive heart failure,1
coughing yellow sputum,1
chronic renal failure,1
worsening respiratory status,1
multiorgan failure,1
rash ankles shins,1
painful warm touch,1
ringed slightly redder color,1
largest larger quarter ; rest size nickle,1
less itchy painful,1
small erosion blister center,1
new welts,1
conclusion erythema multiforme erythema nodosum,1
mild redness chest,1
rash chest arms,1
itchiness arms,1
mild itchiness back,1
redness rash,1
itchiness arms upper back,1
"swelling face , neck , throat",1
erythema chest upper back,1
symptoms shortness breath,1
crackles bases,1
left arm left armpit sore,1
increased stress levels,1
worsening eye sight,1
lymph node swelling left armpit,1
peeling lips gums,1
vertigo pressure ears,1
nonproductive generalized body aches,1
mildly sore,1
moderately sore,1
diffuse moderate puffiness/edema anterior axilla,1
pain arm chills,1
ifg,1
mild cognitive impairment baseline,1
progressive point,1
mild nonproductive cough,1
localizing symptoms infection,1
bacteriuria,1
elevated pt 's feet,1
dizzyness exercising,1
acute lesion,1
lesion lad coronary artery,1
mid lad,1
vomiting lot,1
ongoing cough,1
positive blood culture,1
shortness breath symptoms,1
pain palm hand ( inflamed vessel ),1
bruising right middle finger,1
slight bruising pain,1
intermittent rapid rate,1
right vaccination sharp chest pain,1
left arm,1
severe fatigue brain fog,1
difficulty standing walking,1
dyscognition,1
facial swelling especially cheeks lips,1
delayed reactions fillers,1
palpable reduced size,1
visible lump,1
large bruise hard lump surface,1
drenching night sweats,1
irregular heart rhythm aflutter,1
large left pleural effusion,1
1.8 liters fluid,1
chronic pleuritis,1
signs infection malignancy,1
comorbidities,1
typical atrial flutter covid-19 virus infection pneumonia,1
worsening symptoms fever,1
indeterminate trending troponin,1
left perihilar infiltrate streaky atelectasis infiltrate right lung base,1
significant symptoms,1
reduced ejection fraction,1
acute illness,1
rapid rates flutter,1
elevated heart rates,1
patient 's elevated dimer,1
bilateral aneurysmal dilation distal femoral popliteal arteries significant atherosclerotic disease,1
patient oxygen demands,1
hazy opacifications right hemithorax,1
accommodation airspace disease,1
small pleural effusion,1
pain stomach vomiting,1
large lymph node ear,1
patient immediate dizziness,1
left hand right ankle swelling,1
right shoulder discomfort,1
primarily swelling 2nd finger left hand,1
overall discomfort swelling,1
chronic back discomfort,1
patient inflammatory arthritis,1
membranous glomerular nephritis,1
membranous glomerulonephritis,1
prednisone marked flare,1
increased joint pain swelling,1
persistent pain stiffness swelling,1
gelling phenomenon,1
erythema areas pain,1
distinct rashes,1
acute onset inflammatory arthritis,1
membranous nephropathy,1
positive ana scleroderma antibody recent respiratory symptoms,1
early interstitial lung disease,1
pupil dilation constriction,1
generalized weakness upper lower extremities,1
soreness around injection site,1
anxiety cp,1
co cp,1
mid upper cp,1
cyanosis fever,1
visual changes discharge,1
ear nasal discharge,1
neck pain stiffness,1
diarrhea abdominal pain,1
frequency burning,1
edema pain,1
blurriness left eye,1
dry eye syndrome,1
central retinal vein occlusion,1
central vision,1
bells palsy left face,1
right knee effusion,1
joint arthralgias,1
productive cough fever chills myalgia loss taste smell,1
covid-19 infection hypoxia,1
symptomatic anemia,1
weakness pain neck,1
overbody pain,1
mild nausea/vomiting,1
recent administration r-chop diffuse large b-cell lymphoma,1
bacterial pneumonia setting neutropenia,1
avm,1
caridomyopathy,1
chfref,1
carotid artery disease,1
chronic a-fib,1
hypothyrodism,1
mitral valve regurgitation,1
hypoxia respiratory distress,1
advanced age degenerative brain syndrome,1
acute otitis media,1
nonsuppurative,1
7 days symptoms,1
continuously frequent ha,1
vasal vagal episode,1
elevated pt 's legs,1
muscle sores,1
whole body ached,1
another illness,1
"left shoulder , left side neck",1
left arm hand pain,1
hear heartbeat ears,1
metoprolol symptoms,1
chest congestion throat congestion ( phlegm ),1
near fainting,1
heartbeat irregular,1
another fainting episode,1
hashimotos thyroid control,1
cough runny nose,1
significantly sore,1
ringing pulsing ear,1
patient respiratory arrest,1
severe hypoxia,1
chronic diastolic heart failure demand ischemia,1
patient elevated feet,1
granulamatosis polyangitis,1
ent ringing ( tinnitus ) ears,1
sensorineural hearing loss ears,1
hearing aids,1
stomach ache cramps,1
balloon animals intestines,1
warm nauseated,1
dry scaly patch upper cheek,1
folds cheeks peeling fold,1
pa diagnosed atopic dermatitis,1
work rash forearms,1
hands worst raised bumps,1
burns,1
liver damage,1
heartburn nausea,1
weight rapidly pain,1
little relief,1
tinnitus dropped intensity,1
chronic issues,1
arm lymph node pain,1
booster lymph node pain,1
breakthrough/reinfection,1
high flow oxygen acute encephalopathy,1
toxic metabolic/ delirium,1
hot painful,1
inflammation reaction,1
irregular heavy,1
myalgia joint pain,1
unexplained dizzy spells weakness,1
premenopausal,1
diseases abnormalities,1
hormonal system lead undesirable consequences,1
tickling sensation throat,1
soa fever,1
bradey cardia,1
tachey cardia,1
myalgia residual osteitis lateral humerus,1
deltoid left shoulder pop,1
osteitis,1
minor tingling,1
trouble breathing day,1
oral thrush,1
hot flash,1
flare rheumatoid arthritis,1
severe low back pain pain feet,1
rheumatoid arthritis spine feet,1
several days pain feet,1
flare ra,1
significant ra flare,1
sudden vomit diarrhea,1
hands started tingling,1
white red patches,1
moderate-severe left shoulder pain,1
pcp symptoms,1
chest pains fatigue,1
hands feet tingling,1
sensation pins needles,1
"numb , arm leg falls asleep limp",1
twitching eye vision,1
racing chest,1
extremely fatigued joints painful,1
parasthesia hands feet,1
intermitent episodes chest pains joint,1
severe hip leg pain,1
feet numb,1
still numbness feet day,1
"pain doctor pain hips , feet , legs",1
airway congestion,1
dry barking cough,1
irregular heartbeat pulse,1
tacheycardia,1
diarrhea sleep,1
thing sore throat,1
hives entire body,1
serious allergic reaction,1
medication reaction,1
acute respiratory failure pneumonia,1
evening fevers,1
red dots ( blood ),1
side effects cramps calves,1
severely reduced systolic function,1
mild unspecified cardiomyopathy,1
numbness tingling hand arm everyday,1
complications reactions,1
leg cramping pain,1
great pain eyes,1
covid 19 pneumonia part ii significant conditions,1
hypogammaglobulinemia,1
herpes zoster virus reaction left foot,1
throbbing pain injection site,1
flash pain,1
heart may flutter throbbing,1
minor throbs,1
non-enhancing lesions,1
demyelinating lesions,1
oligoclonal bands elevated igg index,1
extremely cold clammy,1
light nausea onset headache,1
bleach cleaner headache,1
tonsillitis,1
change worsening condition,1
little sore injection site,1
medication swelling,1
severely painful bloody sores inside mouth,1
ear pain ears,1
severe hiccups,1
weird sensations paresthesia left cheek,1
second dose tinnitus,1
severe headache fever,1
sharp pain right side head,1
itching localized left arm,1
diffuse patches redness anterior lateral aspects arm,1
one patch redness,1
raised urticaria,1
pt signs allergic reaction,1
additional 15 min development symptoms,1
worsening reactions,1
redness urticaria,1
flu like feelings,1
positive sample haemophilus influenza b infection,1
er fever cough,1
dysuria flank pain,1
back pain arthralgias,1
sore upper arms,1
right upper arm aches,1
arms weaker painful,1
slight heart ache,1
throat tongue swelling,1
mild oral swelling itchiness,1
joint pain joints,1
normally pain,1
left earache shortness breath,1
congested productive cough,1
3 days symptoms,1
headache weakness,1
aseptic meningitis,1
episode stiffening eye blinking,1
mental status hydration status,1
throat/tongue swelling,1
left arm oral swelling rash,1
ringing ear bad pain,1
difficult time hearing noise,1
tired sore,1
quite sore,1
minor pain aching,1
mild alopecia,1
morning arm pain,1
significant armpit swelling,1
full upper body rash,1
vision blur left side,1
cold feet/hands,1
sleep disruptions,1
symptoms flaring back,1
post-infectious ibs flareup,1
lateral palpitations,1
cbc palpitations,1
irregular heartbeats,1
abnormal menstrual cycles,1
bells palsy r side face,1
single soft lump,1
slight soreness,1
sxs,1
sudden pain lower back,1
lesson l4 l5,1
inflammation transverse myelitis,1
loss motor movement right leg,1
heart rate increased breathing,1
telogen effluvium,1
excessive hair shedding,1
sore arm numbing thumb,1
vaginal bleeding heartburn,1
episodes sporadic,1
sudden extreme headache,1
hypertrophic cardiac myopathy,1
significantly weak,1
muscle atrophy bicep overall arm,1
ring finger pinky impacted,1
muscle twitching throughout body,1
left leg feeling weak weak arm,1
weakness arm,1
away swelling,1
lack smile,1
palsy middle ear infection,1
mildly itchy painful touch,1
cheeks pale,1
intermittent rashes,1
temporary side effect,1
s discomfort,1
painful rashes lung problems,1
two prior successful pregnancies,1
patient extreme vasovagal reaction,1
enlarged swollen left supraclavicular lymph node tender,1
intense left ear pain,1
radiating left jaw,1
hearing loss tinnitus left ear,1
yellow discharge,1
left ear otitis media ear infection,1
severe pain shoulder area,1
sudden fever cold sweats,1
drop blood pressure,1
heavy sweating hot flashes,1
hard breath tires,1
rest sleep,1
acupuncture,1
severe muscle spasms lower back,1
new onset type 1 diabetes,1
intermittent severe /intense sharp pain left clavicle trapezius areas,1
swollen/ tender lymph nodes,1
moderate pain left clavicle,1
"left upper back , left neck , left shoulder left armpit areas",1
loud ringing sound ears,1
increased fatigued,1
cough ( dry/tight feeling cough,1
occasional dizziness intermittent headaches back,1
body pain ( muscles/joints ),1
aching/uncomfortable feelings left breast,1
left side abdomen left buttocks,1
abdominal cramps,1
achiness behind sternum,1
left breast/chest achiness,1
occasional nausea occasional headache,1
30 minutes gauge fever,1
still swollen painful deltoid underarm,1
lymphnode,1
swollen breast tissue left scapular area,1
aggressive,1
observed rash left side neck,1
red spot/rash neck,1
lower lip swelling,1
"knee , chest , wrist areas",1
severe sciatic pain,1
severe ( 10/10 pain scale ),1
nervy pain upper body,1
tingling sensation hands feet ( pins needles,1
sites tingling sensation,1
loss conscious ( syncope ),1
temprature excursion,1
blotchy,1
raised rash multiple areas body,1
patient rash,1
stinging burn-like rash injection site,1
painful red spot underneath injection site,1
unusual excessive menstrual flow,1
acute respiratory failure diarrhea,1
electrolyte imbalance,1
patient acute kidney injury,1
positive dimer,1
low blood pressure passing,1
troponin elevated acute coronary syndromes,1
myocardial necrosis,1
st elevation mi,1
secondary iron deficiency,1
patient dark stool bloody stools,1
longer intermittent menstruation change,1
intense headaches pain breasts pelvic area,1
generalized red rash itching,1
lot itching body,1
morning sore throat,1
anxiety issues,1
withelevated heartbeat afib,1
severe headaches mild upset stomach,1
moderate mild 9am,1
continued aches,1
fever signs illness,1
excruciating back pain,1
hot/cold flashes,1
sense impending doom,1
lymph node neck swelled,1
soa,1
continued worsening condition,1
muscle joints,1
lymph node left side neck swollen,1
large resulting face swelling,1
lymph nodes neck groin area swelling,1
lymph node face enlarged,1
abdominal discomfort blood shed uterus,1
breakthrough covid 19 infection,1
impaired immune systems,1
shadows eye problems,1
overactive bladder,1
hives right arm,1
known history ascvd,1
acute stemi associated symptoms,1
minor desaturations,1
hyperkalemic,1
mildly hyperkalemic,1
deterioration heart health,1
increased heart issues,1
scary painful,1
gag vomit,1
collapsed arms,1
persistent vertigo,1
signs allergic reaction,1
nasal cannula hyperlipidemia,1
underlying chronic lung disease,1
mixed urge stress incontinence,1
nasal congestion sore throat cough,1
urinary urgency frequency dysuria,1
ast alt elevated,1
pneumonia urinary tract infection,1
throat closing chest tightness,1
breathing fine distress,1
seasonal allergy type symptoms,1
congestion back throat,1
cramping severe diarrhea,1
nasal congest,1
color change,1
free symptoms,1
thighs bright red,1
gout flair,1
eyes painful,1
htn diabetes,1
nasal discharge mayonnaise,1
thick fluid,1
non-bronchial cough,1
fatigue low fever,1
pseudomonas sensitive fortaz,1
figure upper respiratory infection,1
sick uri,1
side effect myocarditis,1
extra heart beat ),1
severe stomach pains,1
subsequent diarrhea,1
severe muscle aches pains,1
muscle twitching arms legs,1
hungry tired,1
weak achy,1
painful walk hard,1
joint left toe painful walk,1
similar tailors bunion,1
pain foot,1
painful walk foot,1
chronic irritation,1
worse pain foot,1
strong pain whole arm fingertips cold hand strong pain armpit radiating breast,1
pain sternum,1
r right side chest q dull,1
noticeable changes,1
sore neck muscles bilateral,1
urine white opaque,1
symptoms pain,1
third dose swelling left armpit,1
golf ball sized swelling right armpit rash right arm,1
rash armpit,1
er sbo,1
sustained femoral neck fx,1
ongoing conditions,1
inflammatory condition symptoms,1
head/facial-side head pain,1
high inflammation head face,1
ureteral stone,1
severe sepsis,1
obvious abrasions areas redness swelling,1
blood pressure drop,1
patient c/o numbness tingling tongue,1
coating tongue,1
throat dry,1
something throat,1
knee hurting,1
lymph nodes shrunk weakness energy,1
community acquired pneumonia right lower lobe lung,1
pseudomonas pneumonia,1
cough malaise,1
severe coughing greenish sputum,1
fall weakness,1
chronic kidney disease ( ckd ),1
stage iii ( moderate ) cad ( coronary artery disease ),1
type ii hypertension,1
hypoxia fall,1
hypothyroidism osa,1
generalized weakness fall,1
intermittent confusion,1
pneumonia chest x-ray,1
asthma chronic obstructive pulmonary disease,1
patient covid infection,1
patient changes chronic pattern breathing,1
bronchospasm chronic obstructive pulmonary disease exacerbation,1
diabetes mellitus type,1
patient intermittent confusion,1
patient intermittent confusion slow mentation,1
patient slow mentation confusion,1
progressive decline strength generalized weakness fatigue,1
patient mechanical fall,1
lose consciousness head trauma,1
fracture acute intracranial process,1
mild l2 superior endplate height loss,1
appetite change ( decreased appetite,1
mild difficulty breathing,1
rectal bleeding blood stool,1
chronic lower back pain,1
falls ( mechanical fall,1
neck pain edema,1
slow mentation confusion,1
skin jaundiced,1
covid-19 viral pneumonia,1
copd 3,1
chronic hypoxia,1
stroke-like symptoms,1
acute ischemia,1
benign essential htn,1
-bp,1
ckd iii -stable,1
mild lft elevation,1
new issues,1
slightly tachycardic,1
non-labored respirations,1
soft/nt/nd,1
ttp,1
flattened nasolabial folds,1
slumping bed,1
ataxia,1
flat affect,1
morning fever extremely tired,1
severe eye pain,1
left eye less painful,1
draining,1
swelling severe eye pain-,1
end vision problems,1
miserable 5 days eye pain-,1
worry 's painful,1
lipschultz ulcer,1
cut lip,1
throat flashlight,1
area back throat,1
capillary bleeding,1
thick yellow/brown mucus,1
sensation full body tremors,1
falling asleep sleep,1
muscle twitching 's,1
entire lower body convulse,1
broke rashes throughout body,1
none symptoms,1
heart skipping beats,1
uncontrollable body shakes,1
severe constant enough,1
hypoxic ra,1
rebound symptoms,1
significant desaturation,1
-hyperglycemia,1
-hyperphosphatemia,1
skin tightness,1
inability bend arm,1
s/s,1
hypoxic spo2,1
slightly weaker,1
acute hypoxic respiratory insufficiency,1
hypotensive episode,1
acute hf,1
bacterial pna,1
scratchy sore throat,1
left hearing left ear,1
increased joint swelling pain,1
point large hives body,1
swollen hands feet,1
left arm lymphedema,1
tenderness largest lymph node swelled,1
knees & hips hard move,1
slight discomfort upper chest area,1
rigid pain,1
dehydrated 's,1
severe left upper arm pain,1
decreased joint mobility,1
still lot pain shoulder joint movement resistance training,1
rash started shoulder,1
rash itch,1
left foot gone sleep,1
thinking pinched nerve,1
closed nondisplaced subtrochanteric fracture right femur routine healing,1
irregular cycles,1
hypoxia generalized weakness,1
moderate pulmonary vascular congestion,1
alveolar edema,1
superimposed pulmonary edema,1
chronic heart failure,1
decompensated presentation,1
over-diuresis,1
resting bradycardia,1
abnormal vitals signs,1
current pregnancy,1
pregnancy danger,1
asthma-induced tachycardia low bp,1
moderate symptoms,1
shoulder frequently,1
arthritic changes,1
pain around left chest breathing,1
pe 's,1
5cm round hard subcutaneous nodule,1
warm tender touch,1
"erythema anterior right shoulder elbow , posterior shoulder , right chest",1
two 1-2cm vesicles,1
right-sided chest pain,1
elevated procalcitonin,1
history low ef,1
low blood sugars,1
tingling numbness left foot,1
lymph nodes near clavicle,1
patient c/o face tingling,1
community acquired pneumonia,1
type 2 diabetes mellitus diabetic polyneuropathy,1
transient ischemic attack ),1
interstitial lung disease ( hcc ),1
essential tremor,1
lung granuloma,1
parotid nodule,1
chronic hypoxemic respiratory failure,1
hypoxia hypercapnea,1
osa ( obstructive sleep apnea,1
cough nonproductive worsening shortness breath fatigue,1
lack sense taste smell,1
diffuse wheezing,1
acute chronic obstructive pulmonary disease exacerbation,1
subtle area increased density right upper lobe,1
inflammatory infiltrate,1
jvd,1
acute copd exacerbation,1
wheezy,1
positive increased interstitial density right upper lobe,1
obvious left shift,1
granuloma,1
cap increasing hypoxia,1
recent visual problem,1
decreased hearing,1
+shortness breath,1
urethral discharge,1
bruising tendency,1
delusional,1
wheezes bilateral lung fields,1
respirations non-labored,1
hoh,1
keytruda hodgekin 's lymphoma,1
"extensive l sided cervical adenopathy along l supraclavicular , l subpectoral , retroperitoneal , multiple aortocaval lad",1
classical hodgkin 's lymphoma,1
overal increase lad neck well abdomen pelvis,1
io toxicity,1
e/o known fall,1
increase weakness,1
l nondisplaced ischial tuberosity fracture,1
new focus fdg uptake involving t4-t5 vertebral bodies,1
lymphomatous involvement,1
extremely hard hearing,1
slow response,1
difficulty hearing,1
somewhat slow response,1
ha vision changes,1
specific areas pain,1
lymph nodes base skull neck,1
strong muscle aches,1
strong night sweats,1
iup,1
decreased fm covid sx,1
recurrent late decels,1
"damage bowel , bladder",1
bladder heals,1
chlam,1
atrial fibrillation xarelto,1
moderately elevated pulmonary artery pressure,1
multifocal pna,1
colonic necrosis,1
multitude symptoms,1
macrocytosis,1
acute airspace disease elevated left hemidiaphragm,1
new cough,1
progressive generalized weakness bed,1
gi symptoms,1
"small electric shocks legs , chest , arms",1
extremely painful vaginal ulcers,1
still painful,1
acute symptoms fatigue,1
mental problems,1
3 weeks cognition problems,1
weeping rash right upper leg,1
menarche puberty induced vaccination,1
patient diabetic,1
ongoing feet upper right leg,1
fast beating heart pounding chest,1
increase symptoms,1
increase fatigue pain,1
exacerbation anxiety depression,1
increase panic attack,1
general/increased malaise,1
additional joint pain swelling,1
stomach complaints,1
exertional activity,1
decreased urinary frequency,1
normal chronic obstructive pulmonary disease exacerbation,1
left sided multifocal ischemic stroke,1
congenital glaucoma,1
lung mass suspected cancer,1
elevated wbc,1
elevated blood glucose,1
nodular opacity,1
acute disease,1
episodes shortness breath,1
new lung mass,1
unable ambulate,1
patient symptom,1
slight cough shortness breath,1
moderate chest pain,1
heavy heart palpitations,1
still high fever,1
stuffy nose injection site,1
irregular rapid heartbeat,1
blood pressure shot,1
tingling face,1
"mouth inside & lips , outer ears , legs",1
severe headache pain behind eyes,1
nausa,1
acute pulmonary embolism,1
vitt reaction,1
mouth/gums bleeding,1
left calf pain swelling,1
diagnosed dvt left popliteal posterior tibial veins,1
nonbloody emesis,1
reactive cough,1
fully vaccinated coronavirus,1
previous heart attacks,1
stomach aching sensation periumbilical region,1
constant nonradiating worsening relieving factors,1
chronic issues lungs,1
seizure like activity,1
5 seconds seizure like activity,1
total episode,1
"constant ache knees , ankles wrists",1
swelling ankles,1
stiffness swelling hands,1
previous swelling ankles,1
increased swelling ankles pain,1
daily chest pain pressure,1
irregular heartbeat skipped heart beat,1
still stiffness swelling hands,1
diffuse sweating dizziness,1
pains tightness around heart area,1
light cough,1
sore throat flu like symptoms,1
fibroids hypertension,1
ongoing cough worsening shortness breath,1
cough dry,1
pain right arm involve upper arm forearm,1
pain left arm elbow,1
accompanying symptoms cramps headaches,1
clots massive release blood,1
cramping pain,1
pain traveled shoulder deltoid,1
decrease mobility tender touch,1
electrical feeling bones ( legs area,1
severe l lateral anterior thigh pain,1
later associated rash,1
nausea sides head ears,1
easily mild activities,1
aching hard time breath,1
drooping,1
persistent tinnitus ( ringing ears ),1
chronic insomnia,1
gasped air,1
light headed tunnel vision chest,1
stinging itching body,1
patient 's head itching,1
history a-fib,1
abrasion,1
longer a-fib,1
bradycardia issues,1
arms feet fall,1
"tingling hands , lower legs feet",1
fasciculations lower legs rest body,1
left eye twich,1
hands feet redness,1
peripheral nerve hyperexcitability benign fasciculation syndrome,1
right arm inflamed,1
rash around mouth tongue,1
pale skin temp cool,1
cyanotic hypoxic,1
severely hypercapnic,1
severe sinus swelling,1
intermittent coughing,1
headache eye pain,1
blurry vision colors,1
acute angle glaucoma eyes,1
sort like burning,1
swelling ear canal,1
prior problem,1
problem teeth,1
extreme body joint pain,1
sharp pain palms hands,1
really bad vision dizziness,1
dark blue pen,1
cellulitis legs knees ankles,1
weakness pain,1
little headache sweating,1
mucous throat cough runny nose,1
weak loss taste smell,1
slight headache sharp muscle pains,1
fever chest involvement,1
r temporal/parietal/occipital ha,1
r pulsatile symptom,1
acute otitis,1
early worsening r pulsatile tinnitus,1
notable cerebrovascular dural arteriovenous fistula,1
swollen right knee sharp pains shooting foot,1
5 days pain,1
left knee pain,1
swollen lot pain,1
painful bilateral rash arms flanks,1
"red , swollen arm injections site",1
baseline cough,1
onset flank rash bilaterally angioedema lips,1
new obvious precipitant,1
resulting tension headaches,1
shivering coldness,1
soreness left upper arm,1
tender swollen lymph node,1
ongoing aching,1
last menstrual bleeding,1
severe pressure heart area,1
pain left side lymph nodes,1
ringing ears incredible headache,1
back eyeballs,1
exact pain,1
vomit violently,1
bile liquid blood,1
throwing throwing blood,1
really hot sharp shooting pain body,1
breakthrough seizure,1
throwing blood,1
patients seizures,1
fatigued light-headed confusion,1
trouble focusing tasks symptoms,1
pt mouth twitching,1
difficulty speaking,1
facial drooping,1
arm drift weakness,1
brain condition idiopathic,1
continuous ringing left ear,1
lot acid build stomach,1
stomach acid hungry,1
extreme body pain head toe,1
butt legs like pain,1
weird single cough,1
occasional low grade fever,1
worse acid stomach,1
yellow mucus,1
cough acid,1
lack sleep,1
syncopal episode loc,1
symptoms nervous system -tingling,1
gulliane-barre syndrome,1
sharp pain occurs left spine shoulder,1
loss mobility strength,1
severe menstrual cramping,1
severe orthostatic hypotension,1
body aches joint aches,1
increased lethargy,1
right sided bells palsy,1
early shortened menstrual cycles,1
fever vomiting,1
little vomiting,1
pelvic/abdominal pain,1
increasing confusion,1
weakness decreased oral intake,1
failure thrive,1
bone aches,1
s/s allergic reactions,1
"abnormal , large amounts bleeding extended amounts time bleeding cycles",1
uterine issues,1
pregnancy hormone imbalances,1
swelling lymph glands arms & neck side booster,1
symptoms burn,1
burning skin redness,1
fever confusion,1
ekg st elevation,1
soreness tightness,1
along shoulders armpits,1
infected permcath,1
racing heartbeat,1
type chest congestion etc,1
occasional shortness breath swelling ankles,1
extreme arm swelling,1
size chicken egg size lump,1
l hand l foot numbness,1
chicken pox pneumonia,1
protruding arm,1
tingling sensation body,1
hoarse voice cough,1
patient sore injection site,1
temperature night belly pain,1
diffuse vibrating body upper lower extremity muscle fasciculations,1
father immediate swelling left foot intense pain systemically targeting joints,1
swelling pain left foot knee,1
expressive aphasia stroke left side brain,1
current covid-19 infection,1
increasing o2 demand,1
worsening generalized weakness,1
intermittent shortness breath diffuse chills,1
positive test hcf,1
throat closing short breath,1
hives around neck,1
critical covid-19 infection,1
secondary active sigmoid cancer,1
new oxygen requirement,1
allergic hives whole body,1
strong headache ( covid ),1
dilated pupil,1
immediate allergic reactions,1
short breath hypoxic,1
acute complaints,1
minor respiratory symptoms,1
three day nonproductive cough,1
history ischemic cardiomyopathy,1
shortness breath weakness,1
generalized weakness symptoms,1
tested positive covid-19 infection,1
similar symptoms test positive 4 tests,1
big improvement antibodies,1
fever loss taste smell,1
rhinorrhea cough,1
side effects negative reaction,1
fine sore arm,1
chest hurt,1
slightly sore throat,1
constant ringing ear,1
inflammation throat,1
red sore,1
engorged,1
obvious triggers infection,1
fever excess,1
swelling breast decreased milk production,1
extreme chills high fever,1
throwing tons pain shooting body,1
continual dry heaving copious amount muscle pains,1
bruise size,1
sever ringing ears,1
tingling sensation,1
slight pressure center chest,1
pressure near base skull top neck,1
pressure base lower mid back,1
detection lung nodules,1
microscopic polyangiitis vasculitis,1
generalized aches/pains,1
adverse effect severe joint pain,1
someone drilling joints drill,1
muscle ache/nausea/fever/migraine,1
helpful bad reaction,1
2nd shot better sore arm ( slightly sore,1
extremely severe sharp continuous stomach pains,1
continuation flu like symptoms,1
remaining symptoms,1
moderate joint pain,1
brain fog mildly achy joints migraine,1
swelling legs,1
weight swelling,1
redness rash around injection site,1
circular 's,1
big redness,1
hard bump feeling closer injection site,1
red area warm touch,1
pericarditis ongoing symptoms,1
abdominal distress,1
abdominal cramps gas,1
pain weakness legs,1
right side weakness,1
blood rush face jaw,1
pain back left side neck,1
jitters,1
anxiety rapid heartbeat,1
paresthesia weakness left hand foot,1
bulging left back side,1
neck burning pain,1
nerve damage muscle spasms,1
cervical myelopathy,1
patient complaints,1
tongue facial swelling,1
severe acidosis,1
circulatory shock,1
severe thrombocytopenia,1
subacute cerebellar stroke,1
vitt,1
slight fever unable sleep,1
rapid pulse feverish,1
urosepsis,1
e. coli/enterobacter bacteremia,1
-intermittent hypoxia,1
clogged duct,1
headaches longer chills,1
individual symptoms symptom onset,1
significant conditions,1
sudden fever,1
continued battle fevers,1
painful chills,1
splitting headache altered sense smell,1
none tests abnormal,1
extreme immune reaction,1
extremely weak fatigued,1
severe pain arm,1
smell shortness breath,1
cold allergies,1
temperature 101 deg,1
less runny nose,1
mild syptoms,1
head loose consciousness,1
difficulty breathing throat tightness,1
face lips tongue,1
less shaky,1
dizziness position changes,1
sore arm body aches,1
high levels,1
stroke heart attack,1
covid19 pna,1
large ( softball size ) bump injection site,1
warm itchy,1
minor rash,1
idiopathic healthy heart ventricular tachycardia,1
generalized urticaria,1
profound pruritis,1
prolonged recurrent urticaria,1
history dermatitis,1
super high bp numbers,1
swings low faint,1
patient syncopal ( vasovagal ) episode,1
clammy semi conscious,1
