Disease_ncbi,Frequency_ncbi
arthritis ankles,1
rash legs ; joint pain,1
`` chest pains ``,1
`` rash legs ``,1
chronic pigmented purpura,2
`` rash legs `` ``,1
shaking,1
stomach cramps,4
abdominal pain upper,4
`` allergy,1
blepharospasm,2
asthenopia,5
allergy penicillin,1
musculoskeletal discomfort,14
muscle tightness,1
middle night headaches,1
`` cancer,5
`` lupus ``,3
rash stomach,1
difficulty swallowing ; arm swollen,1
`` rash stomach ``,1
`` vertigo ``,11
`` neck pain ``,5
upper arm elbow shoulder ) face,1
upper arm elbow shoulder,2
pain right arm ; lethargy,1
tears pain right arm,1
pain lethargy,1
deep vein thrombosis lower extremities,1
insomnia ``,1
attention deficit hyperactivity disorder,6
idiopathic intracranial hypertension,4
pain right ear skull,1
cerebrospinal fluid leakage,1
csfl ``,1
`` idiopathic intracranial hypertension ``,1
pain right ear skull ``,2
acute intracranial abnormality,1
bifrontal hemispheric t2 hyperintense white matter,1
parenchymal signal abnormality,1
dilatation bilateral optic nerve sheaths tortuosity,1
papilledema,2
ethmoid maxillary sinus mucosal thickening,1
"csf leak cervical , thoracic , lumbar spine",1
spinal canal stenosis,12
"cervical , thoracic , lumbar spine",1
cervical spine,1
chronic fracture deformity,1
iytic sclerotic lesions,1
foraminal stenosis,5
foramina ' stenosis,2
uncovertebral hypertrophy,1
thoracic spine,1
focal exaggerated kyphosis,1
anterior wedge compression deformity,1
suspicious lytic sclerotic lesions,1
csf-venous fistula,2
lumbar spine,1
intervertebral disc space height loss l2-l3 disc,1
retrolisthesis,1
ligamentum flavum thickening,2
facet arthropathy,1
conus medullaris,1
nodularity cauda equina,1
chronic durai sinus thrombosis,1
bilateral sigmoid sinuses,1
high-grade stenosis thrombosis,1
hemorrhage mass lesion,1
skull facial bones,1
high-grade stenosis vascular occlusion,2
venous thrombosis,1
stenosis within distal left transverse sinus,1
`` back leg hurting ``,1
allergy reaction ``,1
neurological neurological,1
sudden sharp pains left side head close ear,1
left leg pain,2
`` left leg pain ``,1
chest pain ``,2
`` type 1 diabetes mellitus ``,1
'headache heart,2
gi distress,3
tenderness swelling,1
general fatigue,1
`` type 2 diabetes mellitus,2
`` abscess ``,1
abscess side cellulitis,1
septic infection,1
`` gi distress,1
diarrhea ``,4
`` generalized muscle joint pain ``,1
maternal grandfather heart arrhythmia,1
`` acid reflux ``,4
sleep disorder,21
muscle pain neck,3
back lower legs,1
"muscle pain neck , back lower legs",1
intermenstrual bleeding,8
pain kidneys ``,1
swelling left eyelid,1
swelling left eyelid ``,2
swelling left arm pit,1
left arm soreness swelling,1
`` left arm pain,2
headache/,6
cramping legs,1
excruciating pain extremities knees,1
weakness lower extremities,1
impairment/memory loss ``,1
restless leg ``,1
spinal stenosis ``,1
muscle disorder,6
`` weakness legs ``,2
weakness lower extremities ``,1
dysstasia,11
cerebrovascular disease,1
head ach,1
low grade fever chills,1
`` head ach ``,1
puking,1
haschimotos thyroid,1
muscular ``,1
sick joint pain,1
irritable ; queasy nausea,1
premenstrual cramps,1
lymph edema,2
fatigued,1
bullseye headache,1
`` bullseye headache ``,1
pimples ``,1
irritable ``,1
`` queasy nausea ``,1
premenstrual pain,2
premenstrual cramps ``,1
lymphoedema,4
`` lymph edema ``,1
queasy nausea,1
type headache,1
swollen right arm pit,1
`` swollen right arm pit ``,1
`` right arm pain ``,2
`` swollen right arm pit `` `` right arm pain ``,1
slight fever,1
right shoulder pain right elbow pain pain right knee pain,1
arm soreness swelling,2
memory loss dementia,1
lou garret 's disease,1
"alzheimer , dementia",1
shoulders knee joints painful,1
"chest , upper/lower back knee joints painful",1
upper/lower back knee joints painful,1
muscle/ joint pain,1
`` shoulders knee joints,1
`` upper/lower back knee joints,1
`` muscle/ joint pain ``,1
sinusitis,12
`` sinus infection ``,6
antibiotics sinus infection,1
edema ankles legs,1
senile osteoporosis,1
oedema,4
edema ankles legs ``,1
nausea ``,2
splenomegaly,4
numbness tingling hand ; numbness tingling hand,1
`` numbness tingling hand ``,1
pain injection arm ( shoulder ) numbness tingling hand,1
`` skin cancer,1
dehydration,15
coeliac disease,1
aspirin fever,1
metastatic breast cancer,7
metastatic breast cancer ``,1
tumour,4
`` metastatic breast cancer,1
`` obesity ``,8
`` lymphnode swelling,1
`` diarrhea,3
`` dupuytrens ``,1
hayfever,1
effects- joint pain,1
`` lyme 's disease ``,1
lyme 's disease,1
`` tingling lips tongue ``,1
salivary hypersecretion,2
"paraesthesia oral , paraesthesia oral , dysgeusia",1
tingling lips tongue throat,1
joints muscles aches,1
`` headache `` `` dizziness ``,1
`` lump arm ``,1
uncomfortable pain,1
`` chronic pain ``,5
`` running nose ``,1
head pain,4
tinnitus right ear,1
rotator cuffs cracking shoulders,1
shoulder injury,1
weakness joint cracking,1
left testicle pain swelling,1
epididymitis,2
joint aches,1
y/o pmhx asthma,4
abdominal discomfort fevers,2
burning tingling leg `` right leg,1
burning tingling leg 's right leg,1
benadryl rash,2
ulcers tongue,1
armpit pain,6
`` armpit pain,1
tongue ulceration,1
`` ulcers tongue ``,1
`` alopecia areata,1
`` non-hodgkin 's lymphoma,2
useless arm syndrome,2
`` useless arm syndrome ``,1
extremely weakness,1
right arm pain soreness,1
skin rashes,1
right arm pain soreness ``,1
`` skin rashes ``,1
`` armpit pain ``,1
`` right arm pain soreness ``,1
`` renal failure ``,3
`` liver disease ``,1
`` surgeries fistula ``,1
`` terrible stomach ache ``,2
chronic conditions,1
joint pain knee,1
leg cramps,3
`` lot leg pain ``,1
`` joint pain knee ``,1
`` leg cramps ``,2
`` autoimmune disorder,1
thrombosis,26
ulcer,2
`` muscle weakness ``,2
`` insomnia ``,8
`` twitching ``,1
`` tinnitus ``,6
temporary blindness,4
migraine blindness,2
dizziness headache,4
neurological disorder,3
breast injury,1
heart condition chronic obstructive pulmonary disease,1
`` chronic obstructive pulmonary disease,4
`` disease,2
`` `` visually impaired ``,1
`` heart condition ``,4
heart condition,3
respiratory infection,2
heart surgery repeat respiratory infection,1
respiratory tract infection,1
eye movement disorder,2
flovent chronic cough,1
toothache lower left jaw molar,1
broke left wrist ; humerus bone,1
road traffic accident,2
`` car accident ``,1
wrist fracture,2
`` broke left wrist ``,1
humerus fracture,2
`` humerus bone ``,1
left wrist humerus,3
broke left wrist humerus,1
pain road traffic accident,1
swollen ankles / ankles swollen allergic reaction,1
`` chronic lyme disease ``,1
`` allergy nickel ``,1
chronic lyme disease,1
"hypersensitivity , joint swelling",1
pain/spot brain inoperable,5
sciatica pain,4
swelling hands,4
heart condition stroke,2
lung hypertension,2
coughing rheumatoid arthritis pain,2
pain legs straight ankle,6
pain leg,2
cyst mouth,2
pain headache,5
narco lyrica,2
skin callus,1
rheumatoid arthritis pain,4
"pain legs straight ankle , pain leg , swelling hands",1
lumps,1
pain body/pain le pain leg,1
`` rheumatoid arthritis,13
pain legs straight ankle ``,1
`` pain leg `` amended pain leg/pain feet,1
lung disorder,4
brain disorder,1
cerebral disorder,1
arthritic pains,2
hyperkeratosis,1
yeast infections occasionally bra line axilla,1
fungal skin infection,1
non-serious dizziness,1
bra line axilla pain humira,1
covid virus,1
bra line axilla pain,2
humira dizziness,1
dizziness pain,1
n/a dizziness,2
`` ankle sprained ``,1
blisters tip nose lip,2
fever blisters,2
painful lips,1
swollen lips/both lips,1
blisters lips/blisters lips,2
lip blister,2
lip pain,2
`` painful lips ``,1
oral herpes,3
lip ``,1
mouth sore,2
painful ( sore ) nose,1
fever blisters lips/blisters lips,1
"fever blisters , painful ( sore ) nose , painful lips",1
pulmonary embolisms,1
`` pulmonary embolisms,1
cardiac murmur,4
gait inability,3
`` heart palpitations ``,3
`` glaucoma ``,2
`` left breast pain ``,1
`` sharp pain,1
pleuritic pain,2
`` chest pain,5
flu like body ache,1
`` temporary blindness ``,2
heart attack ``,2
`` migraines ``,4
hyperacusis,3
graves disease,1
basedow 's disease,1
basedow disease,1
`` endometriosis ``,3
palindromic rheumatism,3
`` palindromic rheumatism ``,1
liver injury,40
sclerosing cholangitis,3
sclerosing,1
cholangitis,1
bell 's palsy ``,3
sinus chest congestion,2
`` sinus chest congestion,1
`` polymyalgia rheumatica,2
pmr ``,1
mucous chest ``,1
mucinex advil fever,1
`` runny nose,1
pain like 'appendicitis,2
'appendicitis,1
sunburn swim burn,3
`` pericarditis ``,4
psychomotor hyperactivity,3
`` hyperactivity ``,1
`` epileptic ``,1
`` massive seizure ``,1
concussion,7
`` concussion ``,3
vertigo concussion,1
meclizine vertigo,4
hypoacusis,5
muscle aches2,1
covid-19 headache,1
breast discomfort,4
zoloft nausea,1
skin laceration,1
chronic eyeritis,1
tylenol urinary symptoms,1
`` kidney cancer,3
`` chronic kidney disease ``,5
pulmonary granuloma,3
granulomatous liver disease,3
splenic granuloma,3
focal inferolateral wall edema,2
myocardial edema,8
vam,2
multisystem inflammatory syndrome,2
ecgs arrhythmias,2
atrioventricular block,2
non-sustained ventricular tachycardia,2
emergency department chest pain,3
coronary artery dilation,2
late gadolinium enhancement myocardial edema,2
left ventricular systolic dysfunction,2
penis disorder,1
ventricular tachycardia,7
`` ventricular tachycardia,1
electrocardiographic abnormalities rhythm disturbances,1
blueberries,1
`` low-grade fever,2
`` chronic obstructive pulmonary disease ``,2
hiv infection,1
heart condition ``,1
`` sleep disorder,2
`` bronchitis ``,3
`` weakness ``,19
pulmonary thrombosis,8
`` arrythmia ``,2
bowel incontinence,1
`` sulfa allergy ``,1
`` crohn 's disease,1
anal incontinence,5
`` bowel incontinence ``,1
hypophagia,3
bowel accident,1
`` ryders syndrome ``,1
arteriovenous malformation ) ``,1
pain extremities,1
numbness tingling extremities,5
thyroid disorder,7
cardiac flutter,6
`` pain extremities ``,1
`` numbness tingling extremities ``,3
tingling sensation tongue,1
tingling numbness lower legs ; tingling numbness lower legs,1
`` tingling numbness lower legs ``,3
`` upper back pain ``,1
"paraesthesia oral , paraesthesia",2
dry mouth,5
tongue ``,1
`` upper back pain,1
`` type ii diabetic ``,1
immunodeficiency,5
pelvic pain,5
rib pain,4
generalised muscle aches,3
general body pain,1
chronic lymphocytic leukaemia,3
`` immunodeficiency ``,1
`` respiratory tract congestion,1
`` pelvic pain ``,1
`` rib pain ``,1
pain sex pelvis,1
body pain bones muscles back pain,1
"pain sex pelvis , rib pain",1
anemia back pain,1
`` stomach pain,2
`` anemia,2
`` `` chest pain ``,1
strokes,3
`` heart attack ``,1
cerebrovascular accident,29
full body rash,2
severe edema,2
pityriasis rubra pilaris,7
joint issues pain,2
skin feet hands,1
`` disabled due spine ``,1
`` panic disorder,1
edema ``,2
skin exfoliation,7
pityriasis rubra pilaris ``,2
`` joint issues pain ``,3
skin hypertrophy,3
"rash macular , rash",3
`` skin feet hands,1
wrapped legs edema,1
myopericarditis/ myocarditis,2
pain swelling armpit,2
`` pain swelling armpit,1
`` vein problem right ankle ``,2
ear swelling,2
`` itch,1
`` psoriatic arthritis,1
`` idiopathic thrombocytopenia purpura ``,1
idiopathic thrombocytopenia purpura,2
`` osteopenia ``,2
osteopenia,2
breast soreness,1
`` premenstrual dystrophic disorder,1
premenstrual dystrophic disorder,1
`` constipation ``,3
premenstrual dysphoric disorder,3
nipple disorder,1
nipple pain,1
endometriosis,2
itchy rash,8
pruritic enbrel,1
ruined disc ``,1
remeron ``,1
swelling brain bleed,1
lung pain,2
yesterday fever,1
calcifilaxis,5
restless legs,1
restless legs syndrome,6
restless legs ``,1
afib ``,1
hemophilia,2
pulmonary sarcoidosis,2
deep venous thrombosis,2
swelling left thigh,1
hematoma left posterior leg extending buttock left knee,1
ecchymosis,1
right arm proximal medial epicondyle,1
aha nonpregnant nonpostpartum,1
autoimmune conditions malignancy,1
autoimmune disorders,3
aha,1
`` r/arthritis ``,1
`` ankyloding spondylitis,1
swollen arm pit,2
psoriatic arthropathy,3
`` arrhythmia ``,1
nasal congestion rhinorrhea,1
`` breast sore tender ``,1
`` occipital neuralgia ``,1
`` exercise-induced asthma ``,1
hepatocellular pattern liver injury,8
`` hepatocellular pattern liver injury ``,5
portal lobular interface hepatitis,5
hepatic injury,9
immune-mediated hepatitis,9
`` compensated cirrhosis,1
`` cholestatic ``,1
`` chronic liver disease ``,1
`` autoimmune hepatitis ``,3
autoimmune hepatitis,2
aih,1
liver disease,2
neutrophilic peri-cholangitis,1
cholestasisd bile duct features,1
sars-cov-2 vaccination/ acute liver injury,1
`` liver injury,1
acute liver injury,1
cirrhosis,10
cholestasis,1
fibrosis,1
solitary hepatocellular carcinoma,3
hepatitis,5
`` portal lobular interface hepatitis,1
hepatocellular carcinoma,3
leg pains,4
numbness ; tingling,2
`` palpitations,1
`` hypoaesthesia,1
`` numbness,1
`` paraesthesia,1
`` `` heart palpitations,1
`` `` numbness,1
`` `` tingling,1
thrombosis leg,3
`` thrombosis leg ``,1
heart attack damage,1
adalimumab,5
`` calciphylaxis ``,1
renal disease ``,1
`` congestive heart failure,1
`` lymphedema legs ``,1
calciphylaxis,1
renal disease,2
lumps painful,1
lymphedema legs,1
joint injury,8
`` asthma,1
non-chronic,2
`` junior rheumatoid arthritis,1
junior rheumatoid arthritis,1
fluttering heart ``,1
`` encephalitis ``,2
cognitive disorder,9
disability permanent damage,3
4th cranial nerve palsy,5
ivth nerve paralysis,2
`` 4th cranial nerve palsy ``,1
`` 4th cranial nerve palsy,1
double vision sign stroke,1
cataract,12
ophthalmologist,2
neuro optometrist,1
` bell 's palsy right side face ``,1
`` bell 's palsy,1
`` pulmonary embolism ``,2
vzv,2
varicella zoster virus infection,4
acyclovir,1
`` congestion ``,6
`` red eyes ``,1
ageusia,8
vomiting diarrhoea,1
nerve pain leg,1
psoriasis/autoimmune disease,1
`` heart diseases,1
heart diseases,6
`` pinched nerve ``,1
intervertebral disc disorder,1
back pain ``,1
postmenopausal haemorrhage,6
covid booster,1
asthma ``,5
`` myocarditis,2
ekg chest pain,1
arrhythmias,1
`` `` severe lower back pain ``,1
diabetes 2,1
glucose tolerance impaired,2
`` pre-diabetes,2
diabetes 2 ``,2
`` pre-diabetes/diabetes 2 ``,1
`` pulmonary fibrosis ``,1
bilateral pleural effusion,1
`` supra nuclear palsy ``,1
`` bilateral pleural effusion ``,2
upper respiratory tract congestion,5
muscle rigidity,2
`` localized inflammation ``,1
`` persistent cough ``,1
`` drooling ``,1
-related sleep disorder,1
joint stiffness,2
bone contusion,4
`` bruise sided hip bone ``,2
loss consciousness,8
deafness unilateral,1
nerve injury,3
`` throwing ``,3
`` abdominal pain ``,7
`` stuffy nose ``,3
hyperpyrexia,1
acute transverse myelitis,5
dyslipidemia myoclonus,1
sudden onset left arm weakness paresthesia,1
dizziness imbalance,1
weakness paresthesia,1
left lower extremity,1
demyelinating transverse myelitis,1
left side hemiparesis,1
trunk weakness,1
acute myelitis,2
lymphedema,7
`` gout ``,2
`` lymphedema ``,1
pain arm,1
lymphedema rinvoq,1
upadacitinib,4
swelling leg feet,2
gout lymphedema,2
pain arm lymphedema rinvoq,1
gout lymphoedema,1
clotting bleeding,2
clotting bleeding ``,1
`` pain left arm/recurring pain right ``,1
`` bad headache ``,4
sore arm lymphedema rinvoq,1
covid/experiencing runny nose,3
fatigue ``,1
haematochezia,3
bowel movements,1
`` nasal congestion ``,2
nasal congestion headache,1
partial hearing loss,1
`` partial hearing loss ``,1
skin papilloma,2
`` muscle weakness right leg/right arm ``,1
colitis ulcerative,9
congestion/runny nose,1
gbs,1
paresthesia,3
dysmetria,1
guillain barre syndrome,6
acute inflammatory demyelinating polyneuropathy,2
aidp,1
bilateral symmetrical weakness extremities,1
distal limb paresthesias,1
impaired proprioception toes,1
sensorimotor polyneuropathy,1
inflammatory demyelinating polyneuropathy,1
shoulder replacement,1
shoulder arthroplasty,1
`` shoulder replacement ``,1
fibroids,4
fibroids lungs rheumatoid arthritis,1
osteoarthritis rheumatoid arthritis,1
rheumatoid arthritis flare methotrexate,1
lung fibrosis methotrexate,1
flu like syndrome,1
myelitis transverse,2
`` acute transverse myelitis ``,1
bilateral upper extremity weakness,1
transverse myelitis,5
hemolytic flares,3
bowel microvascular thrombosis,2
haemolysis,3
bowel microvascular thrombosis ``,1
haemolysis thrombosis,1
hemolysis,2
bth,1
pnh type - aplastic anemia,1
paroxysmal nocturnal haemoglobinuria,1
`` heart diseases ``,1
atrial fibrillation ``,1
stenosis aortic valve,1
`` lumbar disc disease,1
`` benign essential hypertension ``,1
`` lumbar spondylosis,1
`` carotid stenosis bilateral ``,1
`` hips osteoarthritis ``,1
osteoarthritis right hip,1
bilateral primary osteoarthritis knee,1
`` melanoma,1
`` chronic major depressive disorder,1
chronic major depressive disorder,1
`` chronic kidney disease,3
`` chronic lymphocytic leukemia,1
`` coronary artery disease ``,1
`` urinary incontinence ``,1
aortic valve stenosis,2
`` stenosis aortic valve ``,1
`` abd pain ``,1
`` pancreatitis ``,1
`` pancreatitis `` `` pancreatic head mass ``,1
watery,1
abdominal cramping ``,2
abdominal cramping diarrhea,1
"tingling forearms , fingers lower extremities",1
lymphoma -like nodules,1
`` severe joint pain ``,2
fingers lower extremities ``,2
`` appendicitis ``,2
`` lower back pain ``,2
`` chronic fatigue,2
pseudolymphoma,2
`` lymphoma,3
`` sweats ``,1
`` ringing ears ``,1
`` tingling forearms,1
`` severe weakness ``,1
appendectomy appendicitis,1
tetanus ``,1
allergies tetanus,1
`` uveitis ``,1
`` uveitis,1
`` seizure disorder,3
bad neuropathy,3
`` cancer/colon cancer,1
`` heart ``,1
`` peripheral neuropathy ``,4
`` peripheral neuropathy,4
peripheral nerve pain,1
irreparable damage/brain injury,1
brain injury,1
brain injury ``,1
dry cough chills,1
gastroparesis,6
impaired gastric emptying,3
`` gastroparesis ``,3
pyrexia asthenia,1
bout vertigo,3
`` sweating,1
known_allergies,1
`` pericarditis,2
blistering,5
flank rib pain,2
`` blistering,1
flank rib pain ``,1
achiness fever,4
limb injury,1
dizzy nausea,1
`` sore throat ``,6
`` immune deficiency ``,1
bad cough,3
`` atrial fibrillation,1
sleeplessness,2
palpitation,6
`` sleeplessness ``,2
`` chest pain ``,12
`` loss appetite ``,1
`` anxiety `` `` palpitation ``,1
horse serum tetanus,1
`` throat swelling ``,1
`` dizziness `` `` throat,1
`` hip joints,1
soreness pain,1
coughed phlegm,1
alice wonderland syndrome,7
hallucination,4
`` hallucinations ``,2
`` alice wonderland syndrome ``,1
advil tylenol,3
throat itchy,2
roof mouth ulcers,2
tongue disorder,1
throat irritation,2
`` throat itchy ``,1
mouth ulceration,5
`` roof mouth ulcers ``,1
candy headaches,1
pretty good headache,1
rid headache,1
vertigo motion sickness,1
`` cancer ``,6
vertigo ``,6
`` motion sickness ``,1
`` severe vertigo ``,1
motion sickness,1
catatonia,2
nail discolouration,2
foot nails,1
pallor,1
covid influenza,1
benign breast neoplasm,1
covid influenza ``,1
neuromyopathy,2
mastication disorder,2
dysgraphia,3
`` hair loss ``,1
`` trouble talking chewing handwriting ``,1
lips swelling,1
`` cake allergy ``,1
hyperthyroidism,5
allergic reaction ``,2
`` lips swelling ``,1
high blood pressure hyperthyroidism,1
respiratory illness,4
genetic/ chromosomal abnormalities,1
endocrine abnormalities,5
`` anaphylactic reaction ``,1
`` seizure ``,3
headache nausea,3
aphonia,2
`` head hurt ``,1
gingival pain,1
toothache,2
terrible tinnitus,1
deafness,4
hearing ``,1
heart inflammation,3
`` heart inflammation ``,1
breast pain ; arm pain,1
`` breast pain ``,1
painful headache,2
joint pain/ pain left knee ; fatigue,1
`` eczema ``,4
`` bad concussion ``,1
`` painful headache ``,1
pain jaw,4
`` asymmetric pain,1
fatigue deep shuttering chills,1
cerebral hemorrhage,3
`` sinus congestion,1
`` chest/lung rattles ``,1
`` sinus congestion ``,2
`` general weakness ``,1
rales,1
lacrimation,1
`` chronic gout ``,1
chronic gout,1
`` chronic pain disorder,1
chronic pain disorder,1
`` dysphasia ``,1
`` epigastric pain ``,1
`` interstitial lung disease ``,1
`` nasal cancer ``,1
nasal cancer,1
`` peptic ulcer ``,1
`` stent heart ``,1
`` neuropathy,1
urinary tract infection ``,1
gastrointestinal infection,5
headache rheumatoid arthritis,1
rinvoq,2
urinary tract infection infection,1
`` vomiting `` ``,1
achy imbruvica,1
ibrutinib,3
imbruvica,1
vascular injury,2
malabsorption,2
contusion,2
fibromyalgia lyrica,1
`` neoplasm breast ``,1
chest pain thinking 's congestion,1
double vision,4
weight loss,4
gait difficulty,1
`` afib ``,1
`` imbalance disorder,1
`` autoimmune disorders,2
myasthenia gravis ``,2
`` blurry vision ``,2
`` gait difficulty ``,1
`` double vision ``,1
`` malaise ``,1
`` weight loss ``,1
`` gait difficulty `` `` muscle weakness ``,1
`` sleep apnoea ``,1
`` head pain ``,1
`` nose,1
debilitating headaches,1
autoimmune flare,1
blood clotting cancer,3
neoplasm malignant,5
`` blood clotting cancer,1
immunisation,1
kidney cancer,3
idiopathic pulmonary fibrosis,3
heart problems,1
`` idiopathic pulmonary fibrosis ``,1
`` celiac disease ``,1
`` soy allergy ``,2
`` milk allergy ``,1
scleroderma ``,2
`` dizziness `` `` weakness ``,2
`` dilated cardiomyopathy ``,1
`` pain extremity ``,1
cough nasal congestion,1
aug ``,2
sensory loss,2
pain nausea,3
sharp pain back head ; tiredness,1
hips quickin,1
`` colitis ``,1
`` colitis,3
colitis ``,2
`` lightheadedness ``,1
`` sharp pain back head ``,1
`` tiredness ``,1
`` hips,1
joint pain muscle pain,1
arm deformity,1
limb deformity,1
`` arm deformity ``,1
eczema rheumatoid arthritis,3
pain eyes,1
`` autonomic dysfunction ``,1
`` antiphospholipid proteine syndrome ``,1
`` myasthenia gravis,1
`` stiff person syndrome,1
iviglob-ex taken autoimmune disorder,1
`` painful eye ``,1
pain right side rib area,1
sore arm,1
muscle ache/muscle pain,1
joint ache/joint pain,1
`` muscle ache/muscle pain ``,1
`` joint ache/joint pain ``,1
disability incapacitating,1
congenital anomaly birth defect,1
plantar fasciitis,2
carpal tunnel syndrome,2
swollen lymph nodes ; pain arm,1
`` plantar fasciitis,1
`` carpal tunnel syndrome ``,1
`` pain arm ``,1
`` shoulder pain ``,2
right foot plantar fasciitis,2
"carpal , tunnel wrists",2
right foot plantar fasciitis carpal tunnel wrists,1
n/a plantar fasciitis,1
n/a carpal tunnel syndrome,1
carpaltunnelsyndrome,1
n/a fever,1
`` respiratory illness ``,1
chromosomal abnormalities,1
`` endocrine abnormalities ``,1
headache ``,2
`` ache ``,1
`` ear infection ``,1
"pain , ear infection",1
said ear infection,1
infective arthritis,1
`` sinus pain ``,1
rhinorrheoa,1
miller fisher syndrome,4
`` chronic painless vertical diplopia ``,1
`` inflammatory pseudotumor ``,1
`` severe gait ataxia ``,1
`` miller fisher syndrome ``,1
pollakiuria,4
pyrexia lymphadenopathy,1
`` back ache ``,2
`` bone spurs ``,1
`` diverticulitis ``,2
`` steroids allergy ``,1
lymphadenopathy axillary pain,1
soreness right arm shoulder,3
`` sulfonamide allergy ``,2
`` multiple sclerosis ``,2
`` pulmonary hypertension ``,1
`` loss vision upper quadrant left eye ``,1
`` interstitial lung disease,1
`` congestive heart failure ``,1
nausea/light nausea,1
queasiness,1
double migraine,1
high anxiety,3
digestive system problems,1
stomach problems,2
gastrointestinal disorder,1
`` stomach problems ``,1
`` heart palpitation ``,3
`` leg pain ``,3
pityriasis rubra pilaris rash,2
ischemic colitis,2
`` ischemic stroke ``,1
congenital heart disease,2
`` soreness aching leg hip ``,1
cloudiness head ; fatigue,1
cloudiness head slight headache,1
`` head ``,1
`` nauseous ``,3
`` achiness ``,1
pharyngeal erythema,1
`` allergy ``,2
benadryl taken hypersensitivity,1
`` parkinson 's disease ``,1
parkinson 's disease,3
`` knee swell ``,1
`` polymyalgia rheumatica ``,1
bowel movement irregularity,5
clumsiness,3
polymyalgia,2
`` stomach pain ``,5
nausea/feeling nauseous,1
diarrhea nausea,2
imodium diarrhea,1
`` cirrhosis liver ``,1
lantus taken diabetes mellitus,1
`` pneumonia,1
plaquenil arthritis,2
`` type 2 diabetes mellitus ``,4
`` heart disease,1
stomach issues pain,1
watery diarrhea,1
`` watery diarrhea ``,1
watery `` diarrhea,1
mydriasis,1
night blindness,1
pressure head & sinuses,1
middle insomnia,1
diarrhea sunday,1
numbness left side face,1
`` irritable bowel syndrome ``,2
irritable bowel syndrome,4
bowel movement,1
`` nerve pain ``,2
pulsing pain right foot,1
`` cellulitis ``,1
verbatim:2013 cellulitis episode right foot,1
`` right foot,3
`` dementia ``,1
`` dementia,1
`` diabetes mellitus type 2 ``,1
`` type 2 hsv infection ``,1
gallbladder disorder,3
swollen lymph nodes myalgia,1
underdose,1
vertigo vertigo,2
back muscle pain,1
`` back muscle pain ``,1
`` cerebral palsy ``,1
cerebral palsy,1
`` headache,8
spinal stenosis,7
`` spinal stenosis ``,2
`` thyroid ``,4
muscle spasm,6
`` muscle spasm ``,1
oropharyngeal discomfort,2
plavix cancer,1
uncomfortableness,2
lymphadenopathy left arm,8
left axilla left elbow crease,8
pain numbness/tingling radiating finger tips/lymphadenopathy nape neck,4
lymphadenopathy left arm ( left axilla left elbow crease,2
"lymphadenopathy nape neck , pressing forward compressing throat",1
ductal hyperplasia right breast ``,1
ductal hyperplasia right breast,1
pain numbness,7
nape neck ``,1
`` lymphadenopathy nape neck,1
tingling radiating finger tips/lymphadenopathy nape neck ``,3
nape neck `` `` lymphadenopathy nape neck,1
lymphadenopathy nape neck,1
muffled hearing hearing radio septum,1
trouble vision,1
muscle pain upper arm,1
cramps,1
vomiting cramps,1
headache right middle head ``,1
`` cardiomyopathy ``,1
`` abdominal swelling ``,1
`` nausea `` `` vomiting ``,1
`` pain leg,1
pain left neck ear,1
`` upper back leg pain legs ``,1
heart disease,3
`` food poisoning ``,1
overactive thyroid,1
weakness ; trembling leg,1
vertigo dizziness,3
trembling leg,1
dizziness ``,1
`` ovarian cancer,1
lynparza taken ovarian cancer,1
leg shoulder ache,2
`` leg shoulder ache ``,1
"swelling left arm , shoulder hand ; swelling left arm , shoulder hand ; pain right breast moved left breast",1
shoulder hand ``,1
`` pain right breast moved left breast ``,1
pain right breast moved left breast,1
`` sore arm ``,2
covid-19 allergies,1
hiatal hernia attacks,4
`` hiatus hernia ``,1
`` knee arthroplasty ``,1
hiatus hernia,1
hiatal hernia ``,1
hiatal hernia attacks esophagus,1
stomach distress,1
`` herpes ``,2
herpes virus infection,1
arterial disorder,1
fosamax taken bone disorder,1
`` lung problem ``,1
nerve pain mouth/jaw,1
pain extremity/pain,1
headache chills,2
stomach cramps nausea/nauseous,1
`` frontal fibrosing alopecia ``,1
`` involuntary movement left hand ``,1
`` migraine headache ``,1
synthroid taken thyroid disorder,1
memory impairment,9
nervousness,6
imitrex fioricet,1
hypertension hypotension,1
hypotension syncope,1
broke tibia fibula right leg,1
calf cramping middle night major fatigue,1
"paresthesias face , tongue , chest wall , limbs ; tremors",1
`` tremors ``,1
`` weakness,1
"tongue , chest wall , limbs",1
night-time bowel movement,1
vomiting night-time bowel movement,1
ulcerated colinitis heart stent,1
muscle pain pain,1
numbness/tingling/buzzing sensation,2
numbness/tingling/buzzing sensation body,2
low back pain/disc herniation,1
immediate cognitive impairment,1
buzzing sensation,1
insomnia nausea,1
tail bone pain,1
ankles pain,1
tail bone pain ankles pain,2
sleepiness weakness,1
debilitating dizziness ``,1
bad tummy ache,1
allergy penicillins,1
headaches nausea,2
ed c/o nasal congestion,2
fahrenheit fever,1
rosacea,2
uptick skin inflammation rosacea,1
y/o pmhx myasthenias gravis,2
whipple,2
c/o fever,2
neck stiffening,1
tingling fingers,1
sjogren 's syndrome asthma,1
cheekbones & side upper right lip,1
`` chronic migraines ``,1
testicle pain,5
testicular pain,4
swelling right arm pit/front shoulder,2
`` body rash ``,1
breast ``,1
pain extremity mass,1
